12004;4;1;NULL;12;20;NULL;44;50;NULL;NULL;80;1;NULL;25;35;NULL;NULL;62;79;NULL;2;15;NULL;36;NULL;53;64;NULL;NULL
12005;4;1;5;14;NULL;NULL;40;NULL;NULL;72;83;9;NULL;23;37;NULL;52;61;NULL;NULL;NULL;NULL;29;NULL;45;55;NULL;73;90
12006;4;1;7;16;NULL;NULL;41;NULL;67;NULL;84;NULL;NULL;24;39;NULL;51;NULL;70;89;NULL;18;28;NULL;46;58;NULL;74;NULL
12010;4;3;NULL;10;22;NULL;NULL;51;NULL;72;86;5;NULL;23;36;NULL;58;NULL;79;NULL;NULL;12;NULL;38;47;NULL;67;NULL;90
12011;4;3;3;13;NULL;NULL;46;NULL;NULL;74;82;NULL;19;NULL;34;48;NULL;60;77;NULL;9;NULL;29;NULL;NULL;50;69;NULL;84
12012;4;3;2;15;NULL;33;NULL;52;61;NULL;NULL;4;NULL;25;35;NULL;NULL;68;NULL;85;NULL;18;27;NULL;42;54;NULL;75;NULL
12016;4;5;NULL;14;NULL;34;45;NULL;63;72;NULL;NULL;15;21;NULL;NULL;50;NULL;75;89;7;NULL;24;NULL;48;53;NULL;NULL;90
12017;4;5;3;13;NULL;35;NULL;57;64;NULL;NULL;9;NULL;23;37;NULL;NULL;66;76;NULL;NULL;17;29;NULL;44;59;NULL;NULL;80
12018;4;5;NULL;NULL;25;31;NULL;54;61;NULL;86;NULL;10;NULL;36;40;NULL;NULL;73;88;2;19;NULL;NULL;46;NULL;67;74;NULL
12022;4;7;NULL;10;23;NULL;NULL;55;NULL;73;88;3;NULL;25;32;NULL;57;NULL;78;NULL;NULL;16;NULL;33;41;NULL;66;NULL;90
12023;4;7;1;12;NULL;NULL;47;NULL;NULL;70;86;NULL;19;NULL;39;49;NULL;60;74;NULL;5;NULL;26;NULL;NULL;59;61;NULL;89
12024;4;7;6;13;NULL;31;NULL;53;63;NULL;NULL;9;NULL;22;38;NULL;NULL;64;NULL;82;NULL;17;24;NULL;46;58;NULL;75;NULL
12028;4;9;NULL;11;NULL;39;46;NULL;66;71;NULL;NULL;16;27;NULL;NULL;50;NULL;77;84;7;NULL;29;NULL;48;56;NULL;NULL;88
12029;4;9;8;14;NULL;32;NULL;51;61;NULL;NULL;9;NULL;21;37;NULL;NULL;67;75;NULL;NULL;15;26;NULL;44;53;NULL;NULL;82
12030;4;9;NULL;NULL;24;33;NULL;52;60;NULL;80;NULL;10;NULL;35;40;NULL;NULL;70;83;1;12;NULL;NULL;42;NULL;63;76;NULL
12034;4;11;1;NULL;24;NULL;44;NULL;NULL;78;81;NULL;NULL;29;30;NULL;55;63;NULL;87;3;11;NULL;34;47;NULL;66;NULL;NULL
