3001;1;0;NULL;NULL;24;30;NULL;53;63;NULL;82;NULL;17;NULL;35;47;NULL;NULL;74;88;5;19;NULL;NULL;49;NULL;64;75;NULL
3002;1;0;1;13;NULL;NULL;44;NULL;60;71;NULL;NULL;18;NULL;36;NULL;56;NULL;78;84;NULL;NULL;26;39;NULL;58;62;NULL;89
3003;1;0;NULL;NULL;21;NULL;40;51;NULL;73;81;3;NULL;23;32;NULL;54;NULL;NULL;85;4;11;NULL;34;42;NULL;61;NULL;NULL
3007;1;2;7;11;NULL;NULL;45;NULL;62;NULL;81;NULL;NULL;25;32;NULL;58;NULL;72;84;NULL;17;NULL;33;46;NULL;69;75;NULL
3008;1;2;9;NULL;20;NULL;NULL;51;NULL;77;85;NULL;10;NULL;37;41;NULL;61;78;NULL;NULL;NULL;21;39;NULL;54;67;NULL;90
3009;1;2;6;13;NULL;NULL;42;NULL;64;NULL;83;NULL;NULL;22;31;NULL;56;NULL;70;89;NULL;18;23;NULL;47;57;NULL;74;NULL
3013;1;4;NULL;NULL;25;35;NULL;57;67;NULL;82;NULL;11;NULL;37;40;NULL;NULL;72;86;9;16;NULL;NULL;46;NULL;69;78;NULL
3014;1;4;NULL;NULL;22;NULL;42;51;NULL;76;80;6;NULL;23;34;NULL;59;NULL;NULL;90;7;15;NULL;38;43;NULL;65;NULL;NULL
3015;1;4;8;18;NULL;NULL;49;NULL;64;71;NULL;NULL;19;NULL;31;NULL;56;NULL;74;83;NULL;NULL;27;36;NULL;58;66;NULL;85
3019;1;6;NULL;NULL;24;NULL;45;54;NULL;76;82;1;NULL;25;32;NULL;58;NULL;NULL;89;9;13;NULL;34;49;NULL;62;NULL;NULL
3020;1;6;3;10;NULL;NULL;42;NULL;61;73;NULL;NULL;19;NULL;30;NULL;50;NULL;74;80;NULL;NULL;23;36;NULL;59;68;NULL;86
